"","carat","cut","color","clarity","depth","table","price","x","y","z"
"1",2,"Premium","J","I1",61.5,59,5051,8.11,8.06,4.97
"2",2.06,"Premium","J","I1",61.2,58,5203,8.1,8.07,4.95
"3",2.03,"Premium","G","I1",61.1,58,6377,8.11,8.06,4.94
"4",2.3,"Premium","G","I1",60.2,59,7226,8.71,8.56,5.19
"5",2.04,"Premium","I","I1",61.1,61,7403,8.25,8.12,5
"6",2.12,"Premium","G","I1",60,58,7508,8.39,8.28,4.99
"7",3.01,"Premium","I","I1",62.7,58,8040,9.1,8.97,5.67
"8",2.04,"Premium","I","I1",59.3,61,8408,8.3,8.25,4.91
"9",2.68,"Premium","G","I1",58.6,60,8419,9.11,9.07,5.33
"10",2.34,"Premium","I","I1",61.5,60,8491,8.47,8.43,5.2
"11",2.02,"Premium","J","SI2",63,58,8640,8.07,8.02,5.07
"12",2.17,"Premium","F","I1",60.7,59,9078,8.43,8.35,5.09
"13",2,"Premium","J","VS1",63,58,9296,8.04,7.99,5.05
"14",2.03,"Premium","J","SI2",60.4,59,9435,8.15,8.12,4.91
"15",2.01,"Premium","I","SI2",62.5,60,9658,8.04,7.95,5
"16",2.01,"Premium","I","SI2",62.1,60,9658,8.1,8.03,5.01
"17",2.01,"Premium","I","SI2",63,59,9658,8.04,7.97,5.04
"18",2.43,"Premium","G","I1",61.7,60,9716,8.54,8.49,5.25
"19",2.04,"Premium","G","I1",62.4,58,9727,8.08,8.17,5.07
"20",2.02,"Premium","J","SI2",59.7,56,9728,8.18,8.13,4.87
"21",2.01,"Premium","J","SI1",61.7,60,9793,8.12,8.09,5
"22",2.05,"Premium","I","SI2",62.1,59,9850,8.13,8.07,5.03
"23",2.05,"Premium","I","SI2",62,58,9850,8.13,8.08,5.02
"24",2.05,"Premium","I","SI2",62,58,9850,8.13,8.08,5.02
"25",2.04,"Premium","G","I1",62.4,58,9905,8.17,8.08,5.07
"26",3.01,"Premium","F","I1",62.2,56,9925,9.24,9.13,5.73
"27",2.06,"Premium","F","I1",58.7,61,9967,8.33,8.31,4.88
"28",2.09,"Premium","I","SI2",60.1,59,10042,8.34,8.3,5
"29",2.19,"Premium","J","SI2",58.8,58,10179,8.57,8.53,5.03
"30",2.14,"Premium","J","SI2",58.4,58,10306,8.52,8.5,4.97
"31",2.01,"Premium","J","VS2",58.6,61,10401,8.18,8.14,4.78
"32",2.01,"Premium","J","SI1",59.8,57,10412,8.17,8.13,4.87
"33",3.05,"Premium","E","I1",60.9,58,10453,9.26,9.25,5.66
"34",2.46,"Premium","E","SI2",59.7,59,10470,8.82,8.76,5.25
"35",2,"Premium","I","SI2",62.3,57,10528,8.12,8.05,5.03
"36",2.01,"Premium","I","SI2",62.7,58,10558,8.02,7.97,5.01
"37",2.63,"Premium","J","I1",62.3,61,10628,8.81,8.76,5.47
"38",2.38,"Premium","J","SI2",60.6,59,10716,8.66,8.63,5.24
"39",2,"Premium","G","SI2",60.7,60,10833,8.13,8.07,4.92
"40",2,"Premium","G","SI2",60.7,60,10833,8.13,8.07,4.92
"41",2.32,"Premium","I","SI2",62.1,58,10913,8.47,8.43,5.25
